patente;tipo;bloqueante;veredicto;fecha_correcta;tiene_la_base;calza;evidencia
LKPY-18;inventario_neumaticos;;NO DECLARA;SIN VENCIMIENTO;Tue Feb 16;si;"USADO USADO USADO USADO USADO USADO USADO USADO USADO USADO USADO | CONDICION | Burgos 12"
LKPY-18;laminas_seguridad;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LKPY-18;mant_hidraulico;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LKPY-18;mantencion;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LKPY-18;operatividad;;NO DECLARA;SIN VENCIMIENTO;Wed May 12;si;"PILLAD0 | EMPRESAS Coquimbo, 12 de noviembre de 2025 | CERTIFICADO DE OPERATIVIDAD DEL EQUIPO"
LKPY-18;permiso_circulacion;SI;DECLARA;2026-09-30;Wed Sep 30;NO;"LA HIGUERA 2025 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 30/09/2026 LK-PY18-3"
LKPY-18;revision_tecnica;SI;ILEGIBLE;;Tue Aug 18;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LKPY-18;seguro_rc;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LKPY-18;sist_riego;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LKPY-18;soap;SI;NO DECLARA;SIN VENCIMIENTO;Wed Sep 30;si;"IMPORTANTE INFORMACION SOBRE ESTE SEGURO COBERTURA : El SOAP cubre la muerte, En el caso de incapacidad permanente parcial, los pagos por gastos médicos sumados"
LKPY-18;tacografo;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LKPY-18;torque_ruedas;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"Coquimbo, 29 de abril de 2026 | CERTIFICADO DE TORQUE | Pillado y Compañía Limitada, Rut 77.316.540-8, certifica que el siguiente vehículo"
LLBP-96;barra_antivuelco;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LLBP-96;ficha_tecnica;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"ESCANEA PARA MÁS INFO | ESPECIFICACIONES TÉCNICAS |       "
LLBP-96;gps;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LLBP-96;inscripcion_rnvm;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LLBP-96;laminas_seguridad;;ILEGIBLE;;Thu Dec 31;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LLBP-96;mantencion;;ILEGIBLE;;Thu Aug 28;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LLBP-96;permiso_circulacion;SI;DECLARA;2027-03-31;Wed Mar 31;NO;"LA HIGUERA 2026 MUNICIPALIDAD DE LA AÑO VALIDO HASTA PLACA UNICA → 31/03/2027 LL-BP96-4"
LLBP-96;revision_tecnica;SI;ILEGIBLE;;Wed Sep 30;;"El PDF no tiene texto: es un escaneo. Hay que abrirlo y leerlo a ojo."
LLBP-96;seguro_rc;;NO DECLARA;SIN VENCIMIENTO;Sun Aug 27;si;"PÓLIZA | Ramo : VEHICULOS COMERCIALES Esta entidad aseguradora, en consideración a la | Propuesta presentada por el asegurado, y a las : 8783718-1 Póliza N°"
LLBP-96;soap;SI;NO DECLARA;SIN VENCIMIENTO;Wed Mar 31;si;"IMPORTANTE: INFORMACION SOBRE ESTE SEGURO En el caso de incapacidad permanente parcial, los pagos por gastos médicos sumados a la indemnización que"
RSCY-85;aire_acondicionado;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"OPILLADO | EMPRESAS Coquimbo, 30 de enero de 2026 | CERTIFICADODE MANTENCION DE ATRE"
RSCY-85;analisis_gases;;ILEGIBLE;;Sat Jan 30;;"No se pudo abrir: Invalid PDF structure."
RSCY-85;ausencia_falla_ecm;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"PILLADO | EMPRESAS Coquimb0, 12 de fetbrero de 2026 | CERTIFICADO DE AUSENCIA DE CODIGOS DE"
RSCY-85;calibracion;;NO DECLARA;SIN VENCIMIENTO;Thu Dec 31;si;"PILLADO | 2026 enero de de Coquimb0, 12 | EMPRESAS"
